"","survey","station","lat","long","species","date","hour"
"138","Corumbiara","PEC05",-13.420222,-61.886192,"tapir","9/8/2020","20:04"
"179","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","30/07/2020","18:59"
"188","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","5/8/2020","11:20"
"200","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","11/8/2020","1:56"
"206","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","23/08/2020","17:59"
"208","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","25/08/2020","8:42"
"211","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","29/08/2020","20:00"
"223","Corumbiara","PEC06",-13.423454,-61.908666,"tapir","7/9/2020","19:52"
"248","Corumbiara","PEC07",-13.477111,-61.836568,"tapir","23/08/2020","18:52"
"277","Corumbiara","PEC09",-13.480659,-61.861692,"tapir","23/08/2020","2:57"
"282","Corumbiara","PEC09",-13.480659,-61.861692,"tapir","6/9/2020","4:27"
"288","Corumbiara","PEC10",-13.50243,-61.863907,"tapir","24/08/2020","7:37"
"289","Corumbiara","PEC10",-13.50243,-61.863907,"tapir","26/08/2020","20:24"
"290","Corumbiara","PEC10",-13.50243,-61.863907,"tapir","1/9/2020","5:57"
"292","Corumbiara","PEC10",-13.50243,-61.863907,"tapir","3/9/2020","4:50"
"312","Corumbiara","PEC11",-13.304233,-62.020189,"tapir","30/08/2020","2:49"
"455","Corumbiara","PEC14",-13.357587,-61.988522,"tapir","12/8/2020","6:13"
"481","Corumbiara","PEC14",-13.357587,-61.988522,"tapir","25/08/2020","5:33"
"487","Corumbiara","PEC14",-13.357587,-61.988522,"tapir","26/08/2020","20:21"
"537","Corumbiara","PEC15",-13.373448,-61.952899,"tapir","2/9/2020","17:06"
"623","Corumbiara","PEC18",-13.368613,-61.902123,"tapir","30/08/2020","6:59"
"786","Corumbiara","PEC22",-13.277738,-62.072257,"tapir","29/08/2020","6:03"
"792","Corumbiara","PEC22",-13.277738,-62.072257,"tapir","8/9/2020","21:33"
"800","Corumbiara","PEC44ex",-13.097769,-61.518375,"tapir","8/8/2020","18:56"
"826","Corumbiara","PEC44ex",-13.097769,-61.518375,"tapir","29/08/2020","4:22"
"832","Corumbiara","PEC44ex",-13.097769,-61.518375,"tapir","8/9/2020","0:11"
"860","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","25/08/2020","22:13"
"861","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","26/08/2020","3:14"
"871","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","31/08/2020","0:11"
"874","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","31/08/2020","18:35"
"875","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","31/08/2020","23:07"
"876","Corumbiara","PEC50",-13.186042,-61.25645,"tapir","1/9/2020","2:55"
"896","Corumbiara","PEC56",-13.143332,-61.371818,"tapir","13/08/2020","23:51"
"1111","Corumbiara","PEC66",-13.208754,-61.739573,"tapir","31/08/2020","23:57"
"1119","Corumbiara","PEC66",-13.208754,-61.739573,"tapir","6/9/2020","4:54"
"1244","Corumbiara","PEC76",-13.121262,-61.45486,"tapir","3/9/2020","3:20"
"1261","Corumbiara","PEC76",-13.121262,-61.45486,"tapir","9/9/2020","4:53"
"429","Corumbiara","PEC14",-13.357587,-61.988522,"capybara","2/8/2020","11:18"
"477","Corumbiara","PEC14",-13.357587,-61.988522,"capybara","23/08/2020","5:14"
"507","Corumbiara","PEC14",-13.357587,-61.988522,"capybara","5/9/2020","8:32"
"509","Corumbiara","PEC14",-13.357587,-61.988522,"capybara","6/9/2020","3:28"
