"","survey","station","lat","long","species","date","hour"
"1297","Guapore","RBG12",-12.394347,-63.458255,"tapir","10/11/2020","4:19"
"1359","Guapore","RBG22",-12.29426,-63.315296,"tapir","4/11/2020","17:59"
"1360","Guapore","RBG22",-12.29426,-63.315296,"tapir","5/11/2020","1:07"
"1386","Guapore","RBG22",-12.29426,-63.315296,"tapir","17/11/2020","22:58"
"1389","Guapore","RBG22",-12.29426,-63.315296,"tapir","19/11/2020","21:39"
"1402","Guapore","RBG22",-12.29426,-63.315296,"tapir","2/12/2020","1:11"
"1408","Guapore","RBG22",-12.29426,-63.315296,"tapir","4/12/2020","1:30"
"1561","Guapore","RBG27",-12.346984,-63.313226,"tapir","2/11/2020","2:09"
"1565","Guapore","RBG27",-12.346984,-63.313226,"tapir","5/11/2020","22:41"
"1630","Guapore","RBG27",-12.346984,-63.313226,"tapir","3/12/2020","10:10"
"1639","Guapore","RBG27",-12.346984,-63.313226,"tapir","8/12/2020","0:09"
"1709","Guapore","RBG29",-12.314524,-63.336543,"tapir","9/11/2020","7:35"
"1715","Guapore","RBG29",-12.314524,-63.336543,"tapir","17/11/2020","4:52"
"1727","Guapore","RBG30",-12.301138,-63.244523,"tapir","30/10/2020","21:50"
"1773","Guapore","RBG30",-12.301138,-63.244523,"tapir","28/11/2020","0:19"
"1774","Guapore","RBG30",-12.301138,-63.244523,"tapir","28/11/2020","7:52"
"1824","Guapore","RBG31",-12.317907,-63.236609,"tapir","27/11/2020","5:41"
"1844","Guapore","RBG32",-12.335155,-63.239459,"tapir","1/11/2020","20:12"
"1851","Guapore","RBG32",-12.335155,-63.239459,"tapir","23/11/2020","19:01"
"2108","Guapore","RBG36",-12.286028,-63.233666,"tapir","30/10/2020","13:46"
"2113","Guapore","RBG36",-12.286028,-63.233666,"tapir","8/11/2020","5:34"
"2190","Guapore","RBG40",-12.318994,-63.360404,"tapir","4/11/2020","3:34"
"2191","Guapore","RBG40",-12.318994,-63.360404,"tapir","5/11/2020","5:38"
"2194","Guapore","RBG40",-12.318994,-63.360404,"tapir","7/11/2020","4:26"
"2195","Guapore","RBG40",-12.318994,-63.360404,"tapir","8/11/2020","2:39"
"2222","Guapore","RBG40",-12.318994,-63.360404,"tapir","1/12/2020","15:54"
"2240","Guapore","RBG41",-12.556786,-63.439165,"tapir","14/11/2020","4:02"
"2424","Guapore","RBG48",-12.539097,-63.448927,"tapir","5/11/2020","18:55"
"2427","Guapore","RBG48",-12.539097,-63.448927,"tapir","8/11/2020","0:53"
"2473","Guapore","RBG61",-12.568749,-63.232696,"tapir","14/11/2020","20:08"
"2482","Guapore","RBG61",-12.568749,-63.232696,"tapir","22/11/2020","23:05"
"2498","Guapore","RBG61",-12.568749,-63.232696,"tapir","3/12/2020","4:47"
"2652","Guapore","RBG75",-12.553764,-63.273438,"tapir","1/12/2020","2:48"
"2739","Guapore","RBG84",-12.632989,-63.397738,"tapir","16/11/2020","3:57"
"1648","Guapore","RBG28",-12.347702,-63.287797,"giant_anteater","7/11/2020","8:08"
"2398","Guapore","RBG47",-12.555819,-63.475403,"giant_anteater","10/11/2020","15:34"
"2602","Guapore","RBG70",-12.535981,-63.230252,"giant_anteater","8/11/2020","2:07"
"2614","Guapore","RBG70",-12.535981,-63.230252,"giant_anteater","16/11/2020","0:05"
"2634","Guapore","RBG70",-12.535981,-63.230252,"giant_anteater","29/11/2020","4:28"
"2423","Guapore","RBG48",-12.539097,-63.448927,"buffalo","5/11/2020","7:29"
"2425","Guapore","RBG48",-12.539097,-63.448927,"buffalo","5/11/2020","21:09"
"2426","Guapore","RBG48",-12.539097,-63.448927,"buffalo","6/11/2020","20:46"
"2429","Guapore","RBG48",-12.539097,-63.448927,"buffalo","8/11/2020","22:48"
"2430","Guapore","RBG48",-12.539097,-63.448927,"buffalo","9/11/2020","19:24"
"2431","Guapore","RBG48",-12.539097,-63.448927,"buffalo","11/11/2020","19:36"
"2432","Guapore","RBG48",-12.539097,-63.448927,"buffalo","12/11/2020","19:34"
"2471","Guapore","RBG61",-12.568749,-63.232696,"buffalo","12/11/2020","6:42"
"2501","Guapore","RBG63",-12.570261,-63.249634,"buffalo","7/11/2020","16:40"
"2502","Guapore","RBG63",-12.570261,-63.249634,"buffalo","7/11/2020","17:21"
"2503","Guapore","RBG63",-12.570261,-63.249634,"buffalo","7/11/2020","22:29"
"2504","Guapore","RBG63",-12.570261,-63.249634,"buffalo","8/11/2020","1:16"
"2505","Guapore","RBG63",-12.570261,-63.249634,"buffalo","8/11/2020","2:19"
"2507","Guapore","RBG63",-12.570261,-63.249634,"buffalo","8/11/2020","15:19"
"2508","Guapore","RBG63",-12.570261,-63.249634,"buffalo","8/11/2020","16:11"
"2509","Guapore","RBG63",-12.570261,-63.249634,"buffalo","11/11/2020","18:50"
"2510","Guapore","RBG63",-12.570261,-63.249634,"buffalo","11/11/2020","20:43"
"2511","Guapore","RBG63",-12.570261,-63.249634,"buffalo","15/11/2020","23:37"
"2512","Guapore","RBG63",-12.570261,-63.249634,"buffalo","16/11/2020","0:16"
"2529","Guapore","RBG66",-12.549829,-63.226998,"buffalo","9/11/2020","6:03"
"2530","Guapore","RBG66",-12.549829,-63.226998,"buffalo","11/11/2020","7:00"
"2531","Guapore","RBG66",-12.549829,-63.226998,"buffalo","13/11/2020","13:19"
"2532","Guapore","RBG66",-12.549829,-63.226998,"buffalo","15/11/2020","15:51"
"2541","Guapore","RBG66",-12.549829,-63.226998,"buffalo","19/11/2020","16:02"
"2542","Guapore","RBG66",-12.549829,-63.226998,"buffalo","20/11/2020","8:39"
"2544","Guapore","RBG66",-12.549829,-63.226998,"buffalo","20/11/2020","12:54"
"2545","Guapore","RBG66",-12.549829,-63.226998,"buffalo","20/11/2020","15:31"
"2549","Guapore","RBG66",-12.549829,-63.226998,"buffalo","22/11/2020","7:01"
"2554","Guapore","RBG66",-12.549829,-63.226998,"buffalo","23/11/2020","13:37"
"2556","Guapore","RBG66",-12.549829,-63.226998,"buffalo","23/11/2020","17:24"
"2557","Guapore","RBG66",-12.549829,-63.226998,"buffalo","24/11/2020","6:44"
