"","survey","station","lat","long","species","date","hour"
"312","RDSA2014","RDSA8",-2.48598,-64.64894,"bush-dog","24/01/14","9:38"
"570","RDSA2014","RDSA14",-2.44516,-64.63439,"bush-dog","22/12/13","7:20"
"34","RDSA2014","RDSA2",-2.51364,-64.6325,"deer","22/12/13","18:02"
"1737","RDSA2014","RDSA42",-2.43391,-64.58167,"deer","21/02/14","7:17"
"2379","RDSA2014","RDSAex8",-2.5061,-64.57435,"deer","9/03/14","5:32"
"10","RDSA2014","RDSA1",-2.43865,-64.66026,"red-brocket deer","31/12/13","8:52"
"248","RDSA2014","RDSA6",-2.47828,-64.67484,"red-brocket deer","4/02/14","17:04"
"369","RDSA2014","RDSA10",-2.52592,-64.6218,"red-brocket deer","24/12/13","10:10"
"519","RDSA2014","RDSA13",-2.46056,-64.68134,"red-brocket deer","25/12/13","13:55"
"528","RDSA2014","RDSA13",-2.46056,-64.68134,"red-brocket deer","4/01/14","10:50"
"816","RDSA2014","RDSA18",-2.45619,-64.66284,"red-brocket deer","27/01/14","12:18"
"1322","RDSA2014","RDSA31",-2.46825,-64.60694,"red-brocket deer","14/02/14","9:00"
"1357","RDSA2014","RDSA32",-2.51885,-64.58644,"red-brocket deer","9/02/14","11:25"
"1863","RDSA2014","RDSA46",-2.44738,-64.56175,"red-brocket deer","17/03/14","12:47"
"1875","RDSA2014","RDSA48",-2.50104,-64.58652,"red-brocket deer","6/02/14","12:28"
"2014","RDSA2014","RDSAex10",-2.47602,-64.59741,"red-brocket deer","3/03/14","10:36"
"2015","RDSA2014","RDSAex10",-2.47602,-64.59741,"red-brocket deer","3/03/14","13:49"
"2021","RDSA2014","RDSAex10",-2.47602,-64.59741,"red-brocket deer","11/03/14","11:34"
"2046","RDSA2014","RDSAex10",-2.47602,-64.59741,"red-brocket deer","28/03/14","14:34"
"2056","RDSA2014","RDSAex10",-2.47602,-64.59741,"red-brocket deer","3/04/14","12:54"
"3","RDSA2014","RDSA1",-2.43865,-64.66026,"brown-brocket deer","23/12/13","1:54"
"4","RDSA2014","RDSA1",-2.43865,-64.66026,"brown-brocket deer","23/12/13","3:50"
"12","RDSA2014","RDSA1",-2.43865,-64.66026,"brown-brocket deer","4/01/14","2:53"
"14","RDSA2014","RDSA1",-2.43865,-64.66026,"brown-brocket deer","5/01/14","21:41"
"294","RDSA2014","RDSA8",-2.48598,-64.64894,"brown-brocket deer","8/01/14","0:57"
"322","RDSA2014","RDSA9",-2.49141,-64.6289,"brown-brocket deer","20/12/13","0:09"
"606","RDSA2014","RDSA15",-2.50099,-64.64214,"brown-brocket deer","20/12/13","3:37"
"632","RDSA2014","RDSA15",-2.50099,-64.64214,"brown-brocket deer","10/01/14","20:38"
"757","RDSA2014","RDSA17",-2.44942,-64.64846,"brown-brocket deer","18/01/14","4:54"
"887","RDSA2014","RDSA21",-2.46088,-64.62653,"brown-brocket deer","21/12/13","4:21"
"1289","RDSA2014","RDSA30",-2.45346,-64.61049,"brown-brocket deer","16/03/14","10:22"
"1474","RDSA2014","RDSA35",-2.48155,-64.55707,"brown-brocket deer","21/02/14","2:17"
"1491","RDSA2014","RDSA35",-2.48155,-64.55707,"brown-brocket deer","1/03/14","23:14"
"1494","RDSA2014","RDSA35",-2.48155,-64.55707,"brown-brocket deer","8/03/14","22:03"
"1662","RDSA2014","RDSA39",-2.4871,-64.56777,"brown-brocket deer","21/02/14","5:00"
"1711","RDSA2014","RDSA41",-2.4203,-64.58886,"brown-brocket deer","20/02/14","7:16"
"1714","RDSA2014","RDSA41",-2.4203,-64.58886,"brown-brocket deer","10/03/14","23:54"
"1757","RDSA2014","RDSA43",-2.42909,-64.59872,"brown-brocket deer","8/02/14","22:34"
"1761","RDSA2014","RDSA43",-2.42909,-64.59872,"brown-brocket deer","17/02/14","5:04"
"1767","RDSA2014","RDSA43",-2.42909,-64.59872,"brown-brocket deer","27/02/14","2:11"
"1776","RDSA2014","RDSA43",-2.42909,-64.59872,"brown-brocket deer","12/03/14","23:25"
"1778","RDSA2014","RDSA43",-2.42909,-64.59872,"brown-brocket deer","17/03/14","0:04"
"1783","RDSA2014","RDSA44",-2.451,-64.57777,"brown-brocket deer","16/02/14","10:23"
"1824","RDSA2014","RDSA45",-2.46391,-64.55849,"brown-brocket deer","4/03/14","21:42"
"1886","RDSA2014","RDSA48",-2.50104,-64.58652,"brown-brocket deer","13/02/14","21:28"
"1940","RDSA2014","RDSA50",-2.43924,-64.56306,"brown-brocket deer","20/02/14","6:06"
"1977","RDSA2014","RDSAex1",-2.46682,-64.63371,"brown-brocket deer","19/01/14","7:42"
