                                 nPars    AIC delta  AICwt cumltvWt
m.psiRoad.pEff                       4 687.00  0.00 0.1087     0.11
m.psiTemp.pEff                       4 687.23  0.23 0.0968     0.21
m.psiPrecipRoad.pEff                 5 688.14  1.14 0.0614     0.27
m.psiTempRoad.pEff                   5 688.43  1.43 0.0532     0.32
m.psiElevRoad.pEff                   5 688.62  1.62 0.0484     0.37
m.psiTempRoadPrecip.pEff             6 688.87  1.87 0.0427     0.41
m.psiNDVIroad.pEff                   5 688.95  1.95 0.0409     0.49
m.psiPrecip.pEff                     4 689.17  2.17 0.0367     0.53
mod0                                 2 693.49  6.50 0.0042     1.00
---------------------------------------------------------------------
m.psi1.pEff                          3 688.90  1.90 0.0420     0.45
m.psiTempElev.pEff                   5 689.21  2.21 0.0360     0.57
m.psiTempNDVI.pEff                   5 689.22  2.22 0.0358     0.60
m.psiTempPrecip.pEff                 5 689.23  2.23 0.0356     0.64
m.psiElev.pEff                       4 689.32  2.32 0.0340     0.67
m.psiTempElevRoad.pEff               6 689.33  2.33 0.0339     0.71
m.psiElevRoadPrecip.pEff             6 689.49  2.49 0.0312     0.74
m.psiNDVIPrecipRoad.pEff             6 690.07  3.07 0.0234     0.76
m.psiTempNDVIRoad.pEff               6 690.39  3.39 0.0199     0.78
m.psiTempNDVIRoadPrecip.pEff         7 690.54  3.54 0.0185     0.80
m.psiElevRoadNDVI.pEff               6 690.61  3.61 0.0179     0.82
m.psiTempElevRoadPrecip.pEff         7 690.73  3.73 0.0168     0.83
m.psiNDVIprecip.pEff                 5 690.84  3.84 0.0159     0.85
m.psiNDVI.pEff                       4 690.84  3.85 0.0159     0.87
m.psiFor.pEff                        4 690.85  3.85 0.0159     0.88
m.psiElevNDVI.pEff                   5 690.95  3.95 0.0151     0.90
m.psiTempElevPrecip.pEff             6 691.00  4.00 0.0147     0.91
m.psiTempElevNDVIRoad.pEff           7 691.15  4.15 0.0137     0.93
m.psiElevPrecip.pEff                 5 691.15  4.16 0.0136     0.94
m.psiTempElevNDVI.pEff               6 691.21  4.21 0.0133     0.95
m.psiTempNDVIPrecip.pEff             6 691.22  4.22 0.0132     0.97
m.psiElevNDVIPrecipRoad.pEff         7 691.39  4.39 0.0121     0.98
m.psiTempElevNDVIRoadPrecip.pEff     8 692.42  5.42 0.0072     0.98
m.psiElevPrecipNDVI.pEff             6 692.84  5.84 0.0059     0.99
m.psiTempElevNDVIPrecip.pEff         7 693.00  6.00 0.0054     1.00
mod0                                 2 693.49  6.50 0.0042     1.00
