"Species","Survey.Name","Individuals","Independent","Site","Trail","Camera.Name","Paired","Latitude","Longitude","X","Y","Elevation","Elevation.Num","Habitat","Season","Camera.Start.Date","Camera.End.Date","Date","Time","Hour","Minute","Time.In.Radians","Daytime","Image.ID","Common"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:00:30",NA,NA,NA,NA,"04250179.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:07:43",NA,NA,NA,NA,"04250351.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02b",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:00:31",NA,NA,NA,NA,"04250180.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:07:44",NA,NA,NA,NA,"04250352.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-25,"08:54:04",NA,NA,NA,NA,"04250828.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:07:45",NA,NA,NA,NA,"04250353.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K03",NA,9.17116,-83.05924,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-19",2021-04-25,"09:04:58",NA,NA,NA,NA,"04250350.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-25,"08:54:02",NA,NA,NA,NA,"04250826.JPG","Coyote"
"Canis latrans","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K02a",NA,9.15883,-83.06502,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-17",2021-04-25,"08:54:03",NA,NA,NA,NA,"04250827.JPG","Coyote"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:51",NA,NA,NA,NA,"06190157.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:23:00",NA,NA,NA,NA,"06300346.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:55",NA,NA,NA,NA,"06190163.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:52",NA,NA,NA,NA,"06190158.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:51",NA,NA,NA,NA,"06190156.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",2,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-30,"21:23:02",NA,NA,NA,NA,"06300349.JPG","Tayra"
"Eira barbara","Kamuk 2021 (March-July)",1,NA,"Kamuk","Kamuk","K06",NA,9.22988,-83.07601,NA,NA,NA,NA,"Tropical Montane Cloud Forest","Dry","2021-03-08","2021-07-20",2021-06-19,"01:01:49",NA,NA,NA,NA,"06190155.JPG","Tayra"
