                               nPars     AIC delta   AICwt cumltvWt
m.psiElevRoad.pEff                 5 1337.47  0.00 2.4e-01     0.24
m.psiElevTempmaxRoad.pEff          6 1338.90  1.43 1.2e-01     0.36
m.psiPrecipElevRoad.pEff           6 1339.02  1.56 1.1e-01     0.48
m.psiAvgMaxTempRoad.pEff           5 1339.12  1.65 1.1e-01     0.58
m.psiRoadNDVIElev.pEff             6 1339.32  1.86 9.7e-02     0.68
mod0                               2 1365.09 27.62 2.5e-07     1.00

-------------------------------------------------------------------
m.psiTempElevRoadPrecip.pEff       7 1340.39  2.92 5.7e-02     0.74
m.psiAvgMaxTempNDVIRoad.pEff       6 1340.68  3.21 4.9e-02     0.79
m.psiTempElevNDVIRoad.pEff         7 1340.82  3.36 4.6e-02     0.83
m.psiElevNDVIPrecipRoad.pEff       7 1340.85  3.39 4.5e-02     0.88
m.psiTempmaxPrecipRoad.pEff        6 1341.03  3.57 4.1e-02     0.92
m.psiRoad.pEff                     4 1342.33  4.87 2.1e-02     0.94
m.psiNDVIRoad.pEff                 5 1342.40  4.93 2.1e-02     0.96
m.psiTempNDVIRoadPrecip.pEff       7 1342.54  5.08 1.9e-02     0.98
m.psiPrecipRoad.pEff               5 1343.52  6.05 1.2e-02     0.99
m.psiPrecipRoadNDVI.pEff           6 1344.04  6.58 9.1e-03     1.00
m.psiHFI.pEff                      4 1354.00 16.54 6.3e-05     1.00
m.psiElevPrecip.pEff               5 1354.58 17.11 4.7e-05     1.00
m.psiElevTempmaxPrecip.pEff        6 1355.60 18.13 2.8e-05     1.00
m.psiPrecipElevNDVI.pEff           6 1356.44 18.98 1.9e-05     1.00
m.psiTempElevNDVIPrecip.pEff       7 1357.55 20.08 1.1e-05     1.00
m.psiAvgMaxTempPrecip.pEff         5 1357.98 20.51 8.6e-06     1.00
m.psiAvgMaxTempPrecipNDVI.pEff     6 1359.40 21.93 4.2e-06     1.00
m.psiElev.pEff                     4 1359.45 21.98 4.1e-06     1.00
m.psiElevTempmax.pEff              5 1360.71 23.24 2.2e-06     1.00
m.psiTempmax.pEff                  4 1361.06 23.59 1.8e-06     1.00
m.psiElevNDVI.pEff                 5 1361.40 23.93 1.6e-06     1.00
m.psiTempmin.pEff                  4 1362.32 24.86 9.8e-07     1.00
m.psiElevTempmaxNDVI.pEff          6 1362.70 25.23 8.1e-07     1.00
m.psiAvgMaxTempNDVI.pEff           5 1362.79 25.32 7.8e-07     1.00
m.psiNDVI.pEff                     4 1365.48 28.02 2.0e-07     1.00
m.psi1.pEff                        3 1366.26 28.79 1.4e-07     1.00
m.psiPrecipNDVI.pEff               5 1366.33 28.86 1.3e-07     1.00
m.psiNPP.pEff                      4 1367.57 30.11 7.1e-08     1.00
m.psiRiver.pEff                    4 1367.58 30.12 7.0e-08     1.00
m.psiFor.pEff                      4 1367.59 30.13 7.0e-08     1.00
m.psiPD.pEff                       4 1367.88 30.41 6.1e-08     1.00
m.pEff.psiPrec                     4 1367.99 30.52 5.8e-08     1.00
m.psiED.pEff                       4 1368.25 30.78 5.1e-08     1.00
m.psiDC.pEff                       4 1368.25 30.79 5.0e-08     1.00
