,Dataset,Station,Lat,Long,Elev,HFI,Forest,NPP,d.Road,d.River,EdgeDens,PatchDens,DisjCore
1,South,CBQTC1,9.125955,-83.05896,1810,4,5,76,12865.50664,1747.981062,103.68,7.09,6.08
2,South,CBQTC2,9.08922,-83.06565,1419,5,0,74,9038.719612,1354.461864,56.73,2.03,5.06
3,South,CBQTC5,9.071059,-83.0884,924,5,75,74,7803.943186,1712.699434,67.95,2.03,2.03
4,South,CBQTC6,9.078394,-83.07478,1107,5,66,74,8254.095557,1547.146412,75.86,6.9,5.91
5,South,CBQTC7,9.090548,-83.06159,1432,5,16,74,9073.138625,1045.867152,56.47,3.04,3.04
6,South,CBQTC8,9.101672,-83.04232,1548,5,90,76,10021.53081,616.904763,31.03,1.01,1.01
7,South,K01,9.14067,-83.0672,2210,4,90,76,14623.38516,3537.312023,32.41,1.01,2.03
8,South,K02,9.15883,-83.06502,2449,4,95,76,16135.26189,4106.164366,9.25,0.99,0.99
9,South,K03,9.17116,-83.05924,2717,4,90,76,16915.37749,5070.082276,3.81,0.99,0.99
10,South,K04,9.18999,-83.06283,2877,4,90,76,16958.50011,5857.524166,1.12,1.01,1.01
11,South,K05,9.20264,-83.05823,2967,4,90,81,17855.97801,4831.393382,20.12,0.99,0.99
12,South,K06,9.22988,-83.07601,2821,4,90,81,17353.73469,5183.7623,59.32,0.99,2.96
13,South,K07,9.24641,-83.07299,2964,4,90,81,18626.8171,4966.627165,21.49,0.99,0.99
14,South,K08,9.25492,-83.06394,3064,4,77,81,19982.52677,4387.84714,75.5,1.01,1.01
15,South,K09,9.25863,-83.05029,3183,4,72,81,21447.3162,3461.110747,136.54,2.88,6.71
16,South,K10,9.264,-83.0405,3319,3,76,81,22671.13979,3397.836292,162.92,23.65,17.74
17,South,PILA01,9.0539,-82.9876,2118,4,90,61,7322.855604,2261.252703,6.71,1.01,1.01
18,South,PILA02,9.0623,-82.9838,2070,4,95,61,8256.199332,2690.760786,0,1,1
19,South,PILA03,9.0704,-82.9791,2243,4,90,61,9252.949573,3305.362001,0,1,1
20,South,PILA04,9.0798,-82.9766,2291,4,90,61,10200.49918,4221.20855,3.36,1.01,1.01
21,South,PILA05,9.0861,-82.9779,2476,4,90,61,10640.18208,3599.198528,8.39,1.01,1.01
22,South,PILA06,9.0954,-82.9763,2550,4,90,61,11563.00908,2579.521404,12.86,1.01,1.01
23,South,PILA07,9.1011,-82.9723,2511,4,90,94,12331.42111,1829.681592,7.84,2.03,1.01
24,South,PILA08,9.1015,-82.9677,2493,4,90,94,12671.62635,1681.306766,20.69,1.01,1.01
25,South,PILA09,9.1093,-82.9625,2483,4,90,94,13703.67321,934.6798951,0,1,1
26,South,PILA10,9.117,-82.9634,2438,4,90,94,14330.43561,234.4305188,2.24,1.01,1.01
