Camr_Nm,StartMonth,StartYear,EndMonth,EndYear
PU01C,12,2009,2,2010
PU01D,2,2010,5,2010
PU02C,2,2010,5,2010
PU03B,12,2009,1,2010
PU03C,2,2010,5,2010
PU04B,2,2010,5,2010
PU04D,12,2009,2,2010
PU05C,11,2009,1,2010
PU05D,3,2010,5,2010
PU06B,2,2010,5,2010
PU06D,1,2010,2,2010
PU07B,2,2010,5,2010
PU07C,1,2010,2,2010
PU08B,12,2009,2,2010
PU08C,2,2010,5,2010
PU09A,12,2009,2,2010
PU09C,2,2010,5,2010
PU10B,12,2009,3,2010
PU10D,3,2010,5,2010
PU11A,2,2010,3,2010
PU11D,12,2009,2,2010
PU12B,1,2010,1,2010
PU12D,3,2010,5,2010
PU13B,2,2010,5,2010
PU13C,1,2010,2,2010
PU14A,2,2010,5,2010
PU14B,1,2010,2,2010
PU15C,2,2010,5,2010
PU15D,12,2009,2,2010
PU16A,2,2010,5,2010
PU16C,10,2009,2,2010
PU17C,2,2010,5,2010
PU18A,10,2009,2,2010
PU19B,2,2010,3,2010
PU19C,10,2009,2,2010
PU20B,2,2010,2,2010
PU20C,10,2009,12,2009
PU21B,11,2009,12,2009
PU21D,2,2010,5,2010
PU22C,10,2009,2,2010
PU22D,2,2010,5,2010
PU23B,2,2010,3,2010
PU23D,10,2009,12,2009
PU24A,10,2009,2,2010
PU24C,2,2010,4,2010
PU25C,2,2010,5,2010
PU26A,2,2010,5,2010
PU27B,2,2010,5,2010
PU27C,10,2009,2,2010
PU28A,9,2009,12,2009
PU28C,1,2010,4,2010
PU29A,1,2010,4,2010
PU30A,11,2009,1,2010
PU30D,2,2010,5,2010
PU31B,10,2009,2,2010
PU31D,2,2010,5,2010
PU32A,10,2009,2,2010
PU32B,2,2010,5,2010
PU33C,2,2010,5,2010
PU33D,10,2009,11,2009
PU34A,9,2009,1,2010
PU34D,1,2010,4,2010
PU35A,9,2009,1,2010
PU35D,1,2010,4,2010
PU36C,9,2009,9,2009
PU36D,1,2010,4,2010
PU37A,10,2009,2,2010
PU37D,2,2010,5,2010
PU38B,2,2010,3,2010
PU38C,10,2009,2,2010
PU39D,2,2010,5,2010
PU40A,9,2009,1,2010
PU40C,1,2010,4,2010
PU41B,1,2010,4,2010
PU41C,9,2009,1,2010
PU42A,9,2009,1,2010
PU42B,1,2010,3,2010
PU43A,1,2010,4,2010
PU43C,9,2009,1,2010
PU44B,1,2010,4,2010
PU44D,9,2009,10,2009
PU45D,9,2009,1,2010
PU46A,9,2009,12,2009
PU46C,1,2010,4,2010
PU47C,1,2010,4,2010
PU48B,1,2010,4,2010
PU48D,9,2009,1,2010
PU49A,9,2009,1,2010
PU49B,1,2010,4,2010
PU50D,1,2010,4,2010
PU51B,9,2009,1,2010
PU51D,1,2010,4,2010
PU52A,1,2010,4,2010
PU52B,9,2009,9,2009
PU53A,9,2009,1,2010
PU53D,1,2010,3,2010
PU54B,9,2009,1,2010
PU54C,1,2010,4,2010
PU55A,9,2009,1,2010
PU55C,1,2010,4,2010
PU56A,8,2009,12,2009
PU56B,1,2010,3,2010
PU57B,8,2009,12,2009
PU57D,1,2010,3,2010
PU58A,1,2010,4,2010
PU58D,9,2009,9,2009
PU59B,1,2010,4,2010
PU59C,9,2009,1,2010
PU60A,8,2009,12,2009
PU61A,8,2009,12,2009
PU61C,1,2010,3,2010
PU62D,1,2010,3,2010
PU63A,9,2009,1,2010
PU63C,1,2010,3,2010
PU64A,1,2010,3,2010
PU64D,8,2009,12,2009
PU65B,8,2009,12,2009
PU65C,1,2010,3,2010
PU66B,8,2009,12,2009
PU66D,1,2010,3,2010
PU67A,1,2010,4,2010
PU67B,8,2009,12,2009
PU68A,8,2009,12,2009
PU68B,1,2010,3,2010
PU69B,1,2010,4,2010
PU69D,8,2009,12,2009
PU70A,8,2009,12,2009
PU70D,1,2010,4,2010
TU16C,8,2009,12,2009
TU21C,12,2009,4,2010
