Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU03C,No,5.4699782,101.4663839,773289,605176,,2/28/2010,5/15/2010,3/6/2010,3:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU03C,No,5.4699782,101.4663839,773289,605176,,2/28/2010,5/15/2010,5/12/2010,14:47
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,4/8/2010,18:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,4/16/2010,19:12
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,5/3/2010,21:04
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,5/7/2010,6:35
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,5/7/2010,9:22
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,5/7/2010,19:57
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/2010,5/15/2010,5/8/2010,7:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04D,No,5.4750182,101.4945023,776404,605747,,12/31/2009,2/10/2010,1/22/2010,19:32
