Camr_Nm,Species,Common,Cmr_S_D,Cmr_E_D,Date,Time
PU01C,blank,blank,12/30/2009,2/26/2010,NA,NA
PU01D,blank,blank,2/26/2010,5/13/2010,NA,NA
PU02C,blank,blank,2/26/2010,5/13/2010,NA,NA
PU03B,blank,blank,12/31/2009,1/20/2010,NA,NA
PU05D,blank,blank,3/2/2010,5/13/2010,NA,NA
PU06B,blank,blank,2/26/2010,5/15/2010,NA,NA
PU06D,blank,blank,1/3/2010,2/25/2010,NA,NA
PU07C,blank,blank,1/3/2010,2/27/2010,NA,NA
PU08B,blank,blank,12/29/2009,2/26/2010,NA,NA
PU08C,blank,blank,2/26/2010,5/13/2010,NA,NA
PU09A,blank,blank,12/29/2009,2/26/2010,NA,NA
PU09C,blank,blank,2/25/2010,5/12/2010,NA,NA
PU10B,blank,blank,12/30/2009,3/1/2010,NA,NA
PU10D,blank,blank,3/1/2010,5/14/2010,NA,NA
PU11A,blank,blank,2/27/2010,3/17/2010,NA,NA
PU11D,blank,blank,12/30/2009,2/27/2010,NA,NA
PU15C,blank,blank,2/24/2010,5/12/2010,NA,NA
PU15D,blank,blank,12/28/2009,2/24/2010,NA,NA
PU16A,blank,blank,2/24/2010,5/11/2010,NA,NA
PU16C,blank,blank,10/31/2009,2/24/2010,NA,NA
PU17C,blank,blank,2/24/2010,5/10/2010,NA,NA
PU20B,blank,blank,2/20/2010,2/23/2010,NA,NA
PU21D,blank,blank,2/23/2010,5/11/2010,NA,NA
PU22D,blank,blank,2/19/2010,5/6/2010,NA,NA
PU23B,blank,blank,2/23/2010,3/25/2010,NA,NA
PU23D,blank,blank,10/21/2009,12/14/2009,NA,NA
PU24A,blank,blank,10/30/2009,2/23/2010,NA,NA
PU24C,blank,blank,2/23/2010,4/30/2010,NA,NA
PU28A,blank,blank,9/15/2009,1/21/2010,NA,NA
PU28C,blank,blank,1/21/2010,4/6/2010,NA,NA
PU29A,blank,blank,1/20/2010,4/6/2010,NA,NA
PU30A,blank,blank,11/1/2009,1/21/2010,NA,NA
PU30D,blank,blank,2/18/2010,5/13/2010,NA,NA
PU31B,blank,blank,10/22/2009,2/20/2010,NA,NA
PU32B,blank,blank,2/21/2010,5/8/2010,NA,NA
PU33C,blank,blank,2/16/2010,5/8/2010,NA,NA
PU33D,blank,blank,10/17/2009,11/28/2009,NA,NA
PU34A,blank,blank,9/15/2009,1/21/2010,NA,NA
PU36D,blank,blank,1/22/2010,4/6/2010,NA,NA
PU37D,blank,blank,2/16/2010,5/8/2010,NA,NA
PU38B,blank,blank,2/17/2010,3/7/2010,NA,NA
PU38C,blank,blank,10/21/2009,2/17/2010,NA,NA
PU39D,blank,blank,2/16/2010,5/6/2010,NA,NA
PU40A,blank,blank,9/8/2009,1/20/2010,NA,NA
PU41B,blank,blank,1/20/2010,4/5/2010,NA,NA
PU41C,blank,blank,9/10/2009,1/20/2010,NA,NA
PU42B,blank,blank,1/21/2010,3/15/2010,NA,NA
PU43A,blank,blank,1/22/2010,4/6/2010,NA,NA
PU43C,blank,blank,9/14/2009,1/22/2010,NA,NA
PU44B,blank,blank,1/12/2010,4/3/2010,NA,NA
PU44D,blank,blank,9/5/2009,10/20/2009,NA,NA
PU47C,blank,blank,1/22/2010,4/7/2010,NA,NA
PU48B,blank,blank,1/12/2010,4/2/2010,NA,NA
PU49A,blank,blank,9/9/2009,1/13/2010,NA,NA
PU49B,blank,blank,1/13/2010,4/3/2010,NA,NA
PU50D,blank,blank,1/16/2010,4/5/2010,NA,NA
PU51B,blank,blank,9/10/2009,1/17/2010,NA,NA
PU51D,blank,blank,1/17/2010,4/4/2010,NA,NA
PU52A,blank,blank,1/11/2010,4/5/2010,NA,NA
PU52B,blank,blank,9/2/2009,9/7/2009,NA,NA
PU57B,blank,blank,8/27/2009,1/19/2010,NA,NA
PU57D,blank,blank,1/19/2010,3/29/2010,NA,NA
PU58A,blank,blank,1/18/2010,4/2/2010,NA,NA
PU58D,blank,blank,9/3/2009,9/10/2009,NA,NA
PU59B,blank,blank,1/18/2010,4/2/2010,NA,NA
PU65C,blank,blank,1/9/2010,3/30/2010,NA,NA
PU66D,blank,blank,1/16/2010,3/30/2010,NA,NA
TU21C,blank,blank,12/31/2009,4/10/2010,NA,NA
TU21C,blank,blank,4/10/2010,5/21/2010,NA,NA
TU22D,blank,blank,4/9/2010,5/16/2010,NA,NA
TU24C,blank,blank,1/1/2010,2/16/2010,NA,NA
TU24C,blank,blank,2/16/2010,4/9/2010,NA,NA
TU24C,blank,blank,4/9/2010,5/16/2010,NA,NA
TU36A,blank,blank,9/17/2009,9/20/2009,NA,NA
TU36A,blank,blank,2/19/2010,4/6/2010,NA,NA
TU36A,blank,blank,4/6/2010,5/21/2010,NA,NA
