"field_1","X","Y","fid","Camr_Nm","Long","Lat","Min.Temp..C.","Min.Temp..C..1","Month"
1,101.431105802098,5.47139561692128,1,"PU01C",382576,605346,21,27.5,1
2,101.442332628466,5.4747569178575,2,"PU01D",383821,605714,21,27.5,1
3,101.449342966065,5.46938702958229,4,"PU02C",384596,605118,21,27.5,1
4,101.478902344886,5.47839930345854,5,"PU03B",387874,606105,19,26.5,1
5,101.46639015651,5.46998826200832,6,"PU03C",386485,605179,19,26.5,1
6,101.496229734482,5.48212981315313,7,"PU04B",389795,606512,19,26.5,1
7,101.494507940216,5.4750251813942,8,"PU04D",389602,605727,19,26.5,1
8,101.503442149457,5.47216542772289,9,"PU05C",390591,605408,18,25.5,1
9,101.511135670016,5.47720671848821,10,"PU05D",391445,605963,18,25.5,1
10,101.520891570896,5.48389069418798,11,"PU06B",392528,606699,18,25.5,1
11,101.530549773562,5.47056841100039,12,"PU06D",393594,605223,18,25.5,1
12,101.551356090482,5.48266391411597,13,"PU07B",395903,606554,18.5,25.5,1
13,101.535522395454,5.47069078561015,14,"PU07C",394145,605235,18,25.5,1
14,101.439160183598,5.46086462776946,15,"PU08B",383465,604179,21,27.5,1
15,101.431291726994,5.45418486650015,16,"PU08C",382591,603443,21.5,28.5,1
16,101.451332045306,5.46196747552442,17,"PU09A",384814,604297,21,27.5,1
17,101.447452350452,5.45846505144756,18,"PU09C",384383,603911,21,27.5,1
18,101.474709576356,5.46123027628956,19,"PU10B",387404,604208,19,26.5,1
19,101.477264382047,5.45784602320549,20,"PU10D",387686,603833,20.5,27.5,1
20,101.480814109057,5.463174249552,21,"PU11A",388081,604421,19,26.5,1
21,101.496835072166,5.45640063058315,22,"PU11D",389854,603667,20.5,27.5,1
22,101.509117948918,5.46294729696925,23,"PU12B",391217,604387,18,25.5,1
23,101.511285799761,5.4558808081456,24,"PU12D",391455,603605,18,25.5,1
24,101.529183709955,5.46523754755047,25,"PU13B",393441,604634,18,25.5,1
25,101.521054355369,5.45467826255224,26,"PU13C",392537,603469,18,25.5,1
26,101.541654799318,5.46589627640079,27,"PU14A",394823,604703,18,25.5,1
27,101.547003041852,5.46069255358252,28,"PU14B",395414,604126,18.5,25.5,1
28,101.452599713842,5.43878160013519,29,"PU15C",384947,601733,21.5,28.5,1
29,101.460444482071,5.44117403174659,30,"PU15D",385817,601995,20.5,27.5,1
30,101.467222883254,5.44407880268859,31,"PU16A",386569,602314,20.5,27.5,1
31,101.464774963964,5.43543441641788,32,"PU16C",386295,601359,20.5,27.5,1
32,101.485143066615,5.43895704030099,34,"PU17C",388553,601742,20.5,27.5,1
33,101.505064617594,5.44408760103665,35,"PU18A",390762,602303,18,25.5,1
34,101.528800140547,5.44413625581908,37,"PU19B",393392,602301,18,25.5,1
35,101.522412615502,5.43690106442835,38,"PU19C",392682,601503,18,25.5,1
36,101.545409719163,5.44608171339567,39,"PU20B",395233,602511,17,24.5,1
37,101.536490309908,5.44054903094512,40,"PU20C",394243,601902,18,25.5,1
38,101.459802850544,5.42586920929039,41,"PU21B",385741,600303,20.5,27.5,1
39,101.456587511792,5.42051467218057,42,"PU21D",385383,599712,21.5,28.5,1
40,101.463892698484,5.42217291177355,43,"PU22C",386193,599893,20.5,27.5,1
41,101.479343141933,5.41579605288592,44,"PU22D",387903,599183,20.5,27.5,1
42,101.497049823352,5.42837303539665,45,"PU23B",389869,600568,20.5,27.5,1
43,101.492143509371,5.41455746735437,46,"PU23D",389321,599042,20.5,27.5,1
44,101.503237866485,5.42941261339524,47,"PU24A",390555,600681,18,25.5,1
45,101.50411496377,5.42241482508315,48,"PU24C",390650,599907,18,25.5,1
46,101.524828803271,5.42160493514723,50,"PU25C",392945,599811,18,25.5,1
47,101.542750545306,5.42529971135474,51,"PU26A",394932,600214,17,24.5,1
48,101.564573437755,5.42484430025634,53,"PU27B",397350,600157,17,24.5,1
49,101.557741014304,5.4218228714614,54,"PU27C",396592,599825,17,24.5,1
50,101.411684994707,5.40693341810101,55,"PU28A",380403,598225,21,28.5,1
51,101.413090623576,5.4046313033257,56,"PU28C",380558,597970,21,28.5,1
52,101.426776929416,5.40897706403181,57,"PU29A",382076,598446,21,28.5,1
53,101.446514946308,5.40539029809732,59,"PU30A",384262,598043,21,28.5,1
54,101.457998329381,5.4007931185119,60,"PU30D",385533,597531,21,28.5,1
55,101.474277867444,5.41037297684616,61,"PU31B",387340,598585,20.5,27.5,1
56,101.475204985947,5.40177450766483,62,"PU31D",387440,597634,20.5,27.5,1
57,101.487993372215,5.41098215530998,63,"PU32A",388860,598648,20.5,27.5,1
58,101.494297492615,5.40603483672446,64,"PU32B",389557,598099,20.5,27.5,1
59,101.502477106587,5.40160830720841,65,"PU33C",390462,597607,19.5,26.5,1
60,101.512044579227,5.40102037489169,66,"PU33D",391522,597539,19.5,26.5,1
61,101.415310150461,5.38957908006843,67,"PU34A",380799,596305,21,28.5,1
62,101.419985279453,5.38023208456566,68,"PU34D",381314,595270,21,28.5,1
63,101.433517876151,5.39373013683976,69,"PU35A",382818,596758,21,28.5,1
64,101.43673204262,5.38089664055199,70,"PU35D",383170,595338,21,28.5,1
65,101.44576993805,5.37925902968502,71,"PU36C",384171,595154,21,28.5,1
66,101.455774577802,5.38031027596295,72,"PU36D",385280,595267,21,28.5,1
67,101.465559946457,5.38856001265173,73,"PU37A",386367,596176,20.5,27.5,1
68,101.478195023115,5.38498781611487,74,"PU37D",387766,595777,20.5,27.5,1
69,101.491052566881,5.39515431967816,75,"PU38B",389194,596897,20.5,27.5,1
70,101.484202030582,5.37974127885234,76,"PU38C",388430,595195,20.5,27.5,1
71,101.510752514426,5.38554192651761,78,"PU39D",391374,595828,19.5,26.5,1
72,101.429756685348,5.37160559945393,79,"PU40A",382394,594313,20,26.5,1
73,101.433422330667,5.3678811069962,80,"PU40C",382799,593900,20,26.5,1
74,101.45430158391,5.3748070222311,81,"PU41B",385115,594659,20,26.5,1
75,101.449085933588,5.36853309916148,82,"PU41C",384535,593967,20,26.5,1
76,101.469646651407,5.37332309923535,83,"PU42A",386815,594490,18.5,25.5,1
77,101.476294828829,5.37104503146835,84,"PU42B",387551,594236,18.5,25.5,1
78,101.48851507138,5.37356731821113,85,"PU43A",388906,594511,18.5,25.5,1
79,101.482397885096,5.36057116054256,86,"PU43C",388224,593076,18.5,25.5,1
80,101.43926514789,5.35406949681168,87,"PU44B",383442,592371,20,26.5,1
81,101.438639293249,5.34592772755177,88,"PU44D",383370,591471,20,26.5,1
82,101.458238726443,5.34585848545002,90,"PU45D",385542,591457,20,26.5,1
83,101.467777433516,5.35184641706268,91,"PU46A",386601,592116,18.5,25.5,1
84,101.467012987865,5.34782851004238,92,"PU46C",386515,591672,18.5,25.5,1
85,101.481435926458,5.34670341820001,94,"PU47C",388113,591543,18.5,25.5,1
86,101.439462330552,5.33911974028931,95,"PU48B",383459,590718,20,26.5,1
87,101.438600655674,5.32831822281532,96,"PU48D",383360,589524,19,26.5,1
88,101.450039378665,5.33859906468518,97,"PU49A",384631,590657,20,26.5,1
89,101.455189127061,5.33640728336928,98,"PU49B",385201,590413,20,26.5,1
90,101.4771858364,5.32782466021808,100,"PU50D",387636,589457,17,24.5,1
91,101.492910316923,5.33845168072594,101,"PU51B",389382,590627,18.5,25.5,1
92,101.49579381777,5.33032904301567,102,"PU51D",389699,589728,17,24.5,1
93,101.42862074598,5.31916298017256,103,"PU52A",382251,588515,19,26.5,1
94,101.436657835431,5.32004593751897,104,"PU52B",383142,588610,19,26.5,1
95,101.452650523268,5.31572443800064,105,"PU53A",384913,588127,19,26.5,1
96,101.45516335171,5.31421232051747,106,"PU53D",385191,587959,19,26.5,1
97,101.473997375343,5.3195308230382,107,"PU54B",387280,588541,17,24.5,1
98,101.465392896952,5.3120171733998,108,"PU54C",386324,587713,17,24.5,1
99,101.484500057516,5.31964246674068,109,"PU55A",388444,588550,17,24.5,1
100,101.485844563152,5.31330622673182,110,"PU55C",388591,587849,17,24.5,1
101,101.429801081392,5.30135807186469,111,"PU56A",382376,586546,19,26.5,1
102,101.438094430499,5.30093033860963,112,"PU56B",383295,586496,19,26.5,1
103,101.457406755041,5.29670894052949,113,"PU57B",385434,586023,19,26.5,1
104,101.460993522348,5.29509139774653,114,"PU57D",385831,585843,17,24.5,1
105,101.469859373385,5.29947652466438,115,"PU58A",386815,586325,17,24.5,1
106,101.471706437257,5.29098919561356,116,"PU58D",387017,585386,16.5,23.5,1
107,101.491152321721,5.30303799030373,117,"PU59B",389176,586712,17,24.5,1
108,101.487109232103,5.2938373238611,118,"PU59C",388725,585696,17,24.5,1
109,101.432862433365,5.28514147631766,119,"PU60A",382710,584752,19.5,26.5,1
110,101.450613277921,5.28096089916676,121,"PU61A",384676,584284,19.5,26.5,1
111,101.447396260141,5.27338131286891,122,"PU61C",384317,583447,19.5,26.5,1
112,101.474360188772,5.27179563069038,124,"PU62D",387305,583263,16.5,23.5,1
113,101.487997766196,5.28600744023021,125,"PU63A",388821,584830,16.5,23.5,1
114,101.484033561344,5.27451873603517,126,"PU63C",388378,583561,16.5,23.5,1
115,101.501607590807,5.28156030727152,127,"PU64A",390328,584334,15,22.5,1
116,101.514201719975,5.27567196058373,128,"PU64D",391722,583679,15,22.5,1
117,101.458405334447,5.26662115268028,129,"PU65B",385535,582696,16.5,23.5,1
118,101.451023991046,5.25146829948914,130,"PU65C",384712,581023,19.5,26.5,1
119,101.47753999614,5.26730070279518,131,"PU66B",387656,582765,16.5,23.5,1
120,101.475203768516,5.25767976409074,132,"PU66D",387394,581702,16.5,23.5,1
121,101.487212700226,5.2639187955621,133,"PU67A",388727,582388,16.5,23.5,1
122,101.493878049142,5.26152303447214,134,"PU67B",389465,582121,16.5,23.5,1
123,101.504444653967,5.26421220744557,135,"PU68A",390637,582415,15,22.5,1
124,101.512126347954,5.26292255943522,136,"PU68B",391488,582270,15,22.5,1
125,101.49216195257,5.24633258373971,137,"PU69B",389270,580442,17,24.5,1
126,101.494057821047,5.23956375080051,138,"PU69D",389478,579693,17,24.5,1
127,101.50280364344,5.24471687549691,139,"PU70A",390449,580260,14.5,22.5,1
128,101.511070225239,5.23429406754709,140,"PU70D",391362,579105,14.5,22.5,1
129,101.462703924467,5.43693881199158,141,"TU16C",386066,601526,20.5,27.5,1
130,101.446937081654,5.41846962512449,142,"TU21C",384313,599489,21.5,28.5,1
131,101.477738654687,5.41828766685612,143,"TU22D",387726,599459,20.5,27.5,1
132,101.504769300721,5.42079775220535,144,"TU24C",390722,599728,18,25.5,1
