,X,Y,Camr_Nm,Precip,Elev,HFI,d.Road
1,101.4311058,5.471395617,PU01C,205.58333,526,0,3534.334122
2,101.4423326,5.474756918,PU01D,209.83333,506,0,3909.900612
3,101.449343,5.46938703,PU02C,209.83333,740,0,3355.075587
4,101.4789023,5.478399303,PU03B,237.33333,1125,0,368.7932061
5,101.4663902,5.469988262,PU03C,223.08333,904,0,1920.116349
6,101.4962297,5.482129813,PU04B,238.58333,1096,0,1039.169498
7,101.4945079,5.475025181,PU04D,238.58333,1222,0,1067.431464
8,101.5034421,5.472165428,PU05C,240.58333,1284,0,1756.090262
9,101.5111357,5.477206718,PU05D,240.58333,1238,0,2746.241358
10,101.5208916,5.483890694,PU06B,238,1192,0,2191.521849
11,101.5305498,5.470568411,PU06D,239.83333,1064,0,3746.45908
12,101.5513561,5.482663914,PU07B,237,1204,0,3828.775468
13,101.5355224,5.470690786,PU07C,238.66667,1129,0,3888.577197
14,101.4391602,5.460864628,PU08B,209.16667,685,0,2339.143593
15,101.4312917,5.454184867,PU08C,197.66667,425,0,1677.77806
16,101.451332,5.461967476,PU09A,218.75,704,0,2581.315072
17,101.4474524,5.458465051,PU09C,208.5,676,0,2133.160201
18,101.4747096,5.461230276,PU10B,217.83333,794,0,1317.461353
19,101.4772644,5.457846023,PU10D,220.08333,874,0,958.9581933
20,101.4808141,5.46317425,PU11A,231.08333,988,0,748.2302269
21,101.4968351,5.456400631,PU11D,225.66667,971,0,862.2676663
22,101.5091179,5.462947297,PU12B,240.58333,1177,0,2200.507813
23,101.5112858,5.455880808,PU12D,240.58333,1184,0,2445.01555
24,101.5291837,5.465237548,PU13B,239.91667,1108,0,4298.852797
25,101.5210544,5.454678263,PU13C,240.83333,1230,0,3535.672258
26,101.5416548,5.465896276,PU14A,241.16667,1273,0,4643.871332
27,101.547003,5.460692554,PU14B,242.16667,1343,0,5427.77359
28,101.4525997,5.4387816,PU15C,196.25,510,0,249.5373323
29,101.4604445,5.441174032,PU15D,195.08333,344,0,942.1369001
30,101.4672229,5.444078803,PU16A,200.66667,472,0,852.2538704
31,101.464775,5.435434416,PU16C,195.08333,353,0,202.1970387
32,101.4851431,5.43895704,PU17C,208.16667,549,0,383.2962469
33,101.5050646,5.444087601,PU18A,229.25,1005,0,2249.408679
34,101.5288001,5.444136256,PU19B,241.25,1200,0,4643.717617
35,101.5224126,5.436901064,PU19C,240,1250,0,4298.065117
36,101.5454097,5.446081713,PU20B,241.58333,1281,0,6361.885299
37,101.5364903,5.440549031,PU20C,243.16667,1335,0,5576.384405
38,101.4598029,5.425869209,PU21B,193.08333,381,0,372.0337256
39,101.4565875,5.420514672,PU21D,192.16667,314,0,934.3145604
40,101.4638927,5.422172912,PU22C,193,324,0,119.5333617
41,101.4793431,5.415796053,PU22D,196.25,390,0,71.63237628
42,101.4970498,5.428373035,PU23B,218.75,794,0,2083.757099
43,101.4921435,5.414557467,PU23D,206.16667,442,0,849.2311879
44,101.5032379,5.429412613,PU24A,223.25,776,0,2636.376487
45,101.504115,5.422414825,PU24C,216.25,759,0,2379.275386
46,101.5248288,5.421604935,PU25C,232.33333,1154,0,4553.876829
47,101.5427505,5.425299711,PU26A,241.75,1269,0,6581.32817
48,101.5645734,5.4248443,PU27B,243.58333,1269,0,8883.430316
49,101.557741,5.421822871,PU27C,243.5,1397,0,8068.80799
