Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU03C,No,5.4699782,101.4663839,773289,605176,,2/28/10,5/15/10,3/6/10,3:08
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU03C,No,5.4699782,101.4663839,773289,605176,,2/28/10,5/15/10,5/12/10,14:47
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,4/8/10,18:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,4/16/10,19:12
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,5/3/10,21:04
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,5/7/10,6:35
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,5/7/10,9:22
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,5/7/10,19:57
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04B,No,5.4821221,101.4962292,776592,606534,,2/28/10,5/15/10,5/8/10,7:34
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU04D,No,5.4750182,101.4945023,776404,605747,,12/31/09,2/10/10,1/22/10,19:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/09,1/2/10,11/8/09,6:45
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/09,1/2/10,11/26/09,22:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU05C,No,5.4721605,101.5034418,777397,605435,,11/2/09,1/2/10,11/27/09,19:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/10,5/15/10,3/9/10,21:54
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU07B,No,5.4826549,101.5513501,782704,606618,,2/27/10,5/15/10,3/16/10,20:33
