"species","lat","lon","hour","date","datetime"
"Tapirus indicus",5.2851361,101.4328547,"20:58",9-08-21,2009-08-21 20:58:00
"Tapirus indicus",5.2672933,101.4775336,"23:06",9-09-01,2009-09-01 23:06:00
"Tapirus indicus",5.3013492,101.4298007,"5:25",9-09-02,2009-09-02 05:25:00
"Tapirus indicus",5.3157186,101.4526504,"22:42",9-09-05,2009-09-05 22:42:00
"Tapirus indicus",5.2851361,101.4328547,"23:35",9-09-05,2009-09-05 23:35:00
"Tapirus indicus",5.2672933,101.4775336,"0:08",9-09-10,2009-09-10 00:08:00
"Tapirus indicus",5.2859964,101.4879928,"1:59",9-09-11,2009-09-11 01:59:00
"Tapirus indicus",5.2672933,101.4775336,"6:33",9-09-12,2009-09-12 06:33:00
"Tapirus indicus",5.3157186,101.4526504,"22:02",9-09-14,2009-09-14 22:02:00
"Tapirus indicus",5.3283087,101.4385977,"2:02",9-09-15,2009-09-15 02:02:00
"Tapirus indicus",5.3195248,101.4739894,"21:06",9-09-18,2009-09-18 21:06:00
"Tapirus indicus",5.2672933,101.4775336,"21:20",9-09-22,2009-09-22 21:20:00
"Tapirus indicus",5.3792495,101.445761,"5:50",9-09-23,2009-09-23 05:50:00
"Tapirus indicus",5.2395611,101.4940545,"5:39",9-09-24,2009-09-24 05:39:00
"Tapirus indicus",5.2851361,101.4328547,"6:51",9-09-25,2009-09-25 06:51:00
"Tapirus indicus",5.2672933,101.4775336,"21:10",9-09-26,2009-09-26 21:10:00
"Tapirus indicus",5.4369326,101.4626992,"6:16",9-09-28,2009-09-28 06:16:00
"Tapirus indicus",5.2756659,101.5141953,"7:04",9-09-28,2009-09-28 07:04:00
"Tapirus indicus",5.2851361,101.4328547,"1:49",9-10-01,2009-10-01 01:49:00
"Tapirus indicus",5.3013492,101.4298007,"6:12",9-10-04,2009-10-04 06:12:00
"Tapirus indicus",5.2859964,101.4879928,"18:36",9-10-05,2009-10-05 18:36:00
"Tapirus indicus",5.3733131,101.4696432,"21:49",9-10-05,2009-10-05 21:49:00
"Tapirus indicus",5.35184,101.4677697,"4:14",9-10-06,2009-10-06 04:14:00
"Tapirus indicus",5.2672933,101.4775336,"20:54",9-10-09,2009-10-09 20:54:00
"Tapirus indicus",5.2395611,101.4940545,"5:23",9-10-12,2009-10-12 05:23:00
"Tapirus indicus",5.2447071,101.502795,"18:36",9-10-12,2009-10-12 18:36:00
"Tapirus indicus",5.3937242,101.4335148,"1:34",9-10-13,2009-10-13 01:34:00
"Tapirus indicus",5.2672933,101.4775336,"6:24",9-10-13,2009-10-13 06:24:00
"Tapirus indicus",5.2709458,101.4986553,"18:58",9-10-13,2009-10-13 18:58:00
"Tapirus indicus",5.3223476,101.4066982,"0:11",9-10-20,2009-10-20 00:11:00
"Tapirus indicus",5.3435705,101.454207,"2:37",9-10-21,2009-10-21 02:37:00
"Tapirus indicus",5.3458513,101.4582315,"6:06",9-10-21,2009-10-21 06:06:00
"Tapirus indicus",5.3937242,101.4335148,"20:34",9-10-21,2009-10-21 20:34:00
"Tapirus indicus",5.3223476,101.4066982,"19:53",9-10-23,2009-10-23 19:53:00
"Tapirus indicus",5.2925818,101.4993067,"21:50",9-10-24,2009-10-24 21:50:00
"Tapirus indicus",5.3157186,101.4526504,"1:49",9-10-25,2009-10-25 01:49:00
"Tapirus indicus",5.2642079,101.5044401,"19:14",9-10-26,2009-10-26 19:14:00
"Tapirus indicus",5.2925818,101.4993067,"2:22",9-10-27,2009-10-27 02:22:00
"Tapirus indicus",5.3223476,101.4066982,"4:21",9-10-28,2009-10-28 04:21:00
"Tapirus indicus",5.4405408,101.5364893,"19:05",9-10-30,2009-10-30 19:05:00
"Tapirus indicus",5.4218157,101.5577397,"5:56",9-10-31,2009-10-31 05:56:00
"Tapirus indicus",5.2809571,101.450612,"4:51",9-11-01,2009-11-01 04:51:00
"Tapirus indicus",5.4221621,101.4638881,"5:01",9-11-01,2009-11-01 05:01:00
"Tapirus indicus",5.2809571,101.450612,"7:10",9-11-01,2009-11-01 07:10:00
"Tapirus indicus",5.2809571,101.450612,"19:11",9-11-01,2009-11-01 19:11:00
"Tapirus indicus",5.2672933,101.4775336,"21:26",9-11-02,2009-11-02 21:26:00
"Tapirus indicus",5.2672933,101.4775336,"20:30",9-11-03,2009-11-03 20:30:00
"Tapirus indicus",5.2938275,101.4871077,"22:01",9-11-03,2009-11-03 22:01:00
"Tapirus indicus",5.2672933,101.4775336,"21:52",9-11-05,2009-11-05 21:52:00
"Tapirus indicus",5.4721605,101.5034418,"6:45",9-11-08,2009-11-08 06:45:00
"Tapirus indicus",5.4218157,101.5577397,"19:27",9-11-08,2009-11-08 19:27:00
"Tapirus indicus",5.2672933,101.4775336,"21:12",9-11-09,2009-11-09 21:12:00
"Tapirus indicus",5.2672933,101.4775336,"4:30",9-11-11,2009-11-11 04:30:00
"Tapirus indicus",5.2615121,101.4938713,"19:27",9-11-13,2009-11-13 19:27:00
"Tapirus indicus",5.2851361,101.4328547,"19:40",9-11-13,2009-11-13 19:40:00
"Tapirus indicus",5.4440777,101.5050598,"19:39",9-11-14,2009-11-14 19:39:00
"Tapirus indicus",5.4368948,101.5224077,"5:38",9-11-17,2009-11-17 05:38:00
"Tapirus indicus",5.4405408,101.5364893,"20:45",9-11-17,2009-11-17 20:45:00
"Tapirus indicus",5.2976302,101.4191332,"21:10",9-11-25,2009-11-25 21:10:00
"Tapirus indicus",5.2615121,101.4938713,"19:23",9-11-26,2009-11-26 19:23:00
"Tapirus indicus",5.4721605,101.5034418,"22:33",9-11-26,2009-11-26 22:33:00
"Tapirus indicus",5.4221621,101.4638881,"4:17",9-11-27,2009-11-27 04:17:00
"Tapirus indicus",5.4721605,101.5034418,"19:58",9-11-27,2009-11-27 19:58:00
"Tapirus indicus",5.2709458,101.4986553,"1:15",9-11-28,2009-11-28 01:15:00
"Tapirus indicus",5.2642079,101.5044401,"6:16",9-11-28,2009-11-28 06:16:00
"Tapirus indicus",5.2615121,101.4938713,"8:12",9-11-28,2009-11-28 08:12:00
"Tapirus indicus",5.3458513,101.4582315,"6:32",9-11-29,2009-11-29 06:32:00
"Tapirus indicus",5.2672933,101.4775336,"18:06",9-11-29,2009-11-29 18:06:00
"Tapirus indicus",5.3223476,101.4066982,"23:30",9-11-30,2009-11-30 23:30:00
