                                 nPars     AIC delta   AICwt cumltvWt
m.psiElevNDVIPrecipRoad.pEff         7 2092.35  0.00 1.8e-01     0.18
m.psiPrecipElevNDVI.pEff             6 2093.00  0.65 1.3e-01     0.30
m.psiElevRoad.pEff                   5 2093.40  1.06 1.0e-01     0.41
m.psiPrecipElevRoad.pEff             6 2093.42  1.07 1.0e-01     0.51
m.psiElevPrecip.pEff                 5 2093.50  1.16 9.9e-02     0.61
m.psiTempElevNDVIRoadPrecip.pEff     8 2094.32  1.97 6.5e-02     0.67
m.psiRoadNDVIElev.pEff               6 2094.32  1.97 6.5e-02     0.74

m.psiElevTempmaxRoad.pEff            6 2094.45  2.10 6.1e-02     0.80
m.psiTempElevNDVIPrecip.pEff         7 2094.77  2.42 5.2e-02     0.85
m.psiTempElevNDVIRoad.pEff           7 2095.14  2.79 4.3e-02     0.89
m.psiTempElevRoadPrecip.pEff         7 2095.30  2.95 4.0e-02     0.94
m.psiElevTempmaxPrecip.pEff          6 2095.45  3.10 3.7e-02     0.97
m.pEff.psiElev                       4 2097.52  5.17 1.3e-02     0.99
m.psiElevTempmax.pEff                5 2099.17  6.82 5.8e-03     0.99
m.psiElevNDVI.pEff                   5 2099.48  7.13 5.0e-03     1.00
m.psiElevTempmaxNDVI.pEff            6 2101.12  8.78 2.2e-03     1.00
m.psiPrecipRoad.pEff                 5 2103.46 11.12 6.8e-04     1.00
m.psiPrecipRoadNDVI.pEff             6 2104.73 12.38 3.6e-04     1.00
m.psiTempmaxPrecipRoad.pEff          6 2105.46 13.11 2.5e-04     1.00
m.psiTempNDVIRoadPrecip.pEff         7 2106.73 14.38 1.3e-04     1.00
m.psiAvgMaxTempNDVIRoad.pEff         6 2110.79 18.44 1.7e-05     1.00
m.psiAvgMaxTempRoad.pEff             5 2111.75 19.40 1.1e-05     1.00
m.psiAvgMaxTempPrecip.pEff           5 2114.24 21.89 3.1e-06     1.00
m.psiTempmax.pEff                    4 2114.73 22.38 2.4e-06     1.00
m.pEff.psiPrec                       4 2114.95 22.61 2.2e-06     1.00
m.psiAvgMaxTempNDVI.pEff             5 2115.78 23.44 1.4e-06     1.00
m.psiAvgMaxTempPrecipNDVI.pEff       6 2116.12 23.77 1.2e-06     1.00
m.psiPrecipNDVI.pEff                 5 2116.95 24.61 8.0e-07     1.00
m.psiNDVIRoad.pEff                   5 2122.57 30.23 4.8e-08     1.00
mod.eff.road                         4 2134.57 42.22 1.2e-10     1.00
m.psiNDVI.pEff                       4 2135.66 43.32 6.9e-11     1.00
mod0                                 2 2163.15 70.80 7.4e-17     1.00
