#Month/Day/Year
"station","species","date","hour"
"PU03C","Tapirus indicus","3/6/10","3:08"
"PU03C","Tapirus indicus","5/12/10","14:47"
"PU04B","Tapirus indicus","4/8/10","18:17"
"PU04B","Tapirus indicus","4/16/10","19:12"
"PU04B","Tapirus indicus","5/3/10","21:04"
"PU04B","Tapirus indicus","5/7/10","6:35"
"PU04D","Tapirus indicus","1/22/10","19:32"
"PU05C","Tapirus indicus","11/8/09","6:45"
"PU05C","Tapirus indicus","11/26/09","22:33"
"PU07B","Tapirus indicus","3/9/10","21:54"
"PU07B","Tapirus indicus","3/16/10","20:33"
"PU07B","Tapirus indicus","3/19/10","21:09"
"PU07B","Tapirus indicus","4/30/10","4:59"
"PU07B","Tapirus indicus","5/3/10","16:41"
"PU53A","Tapirus indicus","9/5/09","22:42"
"PU53A","Tapirus indicus","9/14/09","22:02"
"PU53A","Tapirus indicus","10/25/09","1:49"
"PU12B","Tapirus indicus","1/10/10","20:41"
"PU12B","Tapirus indicus","1/16/10","19:48"
"PU12B","Tapirus indicus","1/25/10","23:32"
"PU12D","Tapirus indicus","3/3/10","21:25"
"PU12D","Tapirus indicus","3/23/10","0:00"
"PU12D","Tapirus indicus","3/29/10","23:07"
"PU12D","Tapirus indicus","4/22/10","3:43"
"PU12D","Tapirus indicus","4/24/10","21:49"
"PU13B","Tapirus indicus","2/27/10","20:14"
"PU13B","Tapirus indicus","5/10/10","20:33"
"PU13C","Tapirus indicus","1/19/10","21:57"
"PU14A","Tapirus indicus","4/10/10","22:17"
"PU14A","Tapirus indicus","4/13/10","21:16"
"PU14B","Tapirus indicus","1/9/10","20:21"
"PU14B","Tapirus indicus","1/11/10","5:18"
"PU14B","Tapirus indicus","1/14/10","4:58"
"PU14B","Tapirus indicus","1/16/10","4:33"
"PU14B","Tapirus indicus","1/18/10","6:54"
"PU14B","Tapirus indicus","1/31/10","1:36"
"PU18A","Tapirus indicus","11/14/09","19:39"
"PU18A","Tapirus indicus","12/10/09","18:52"
"PU18A","Tapirus indicus","12/13/09","19:13"
"PU18A","Tapirus indicus","12/17/09","9:38"
"PU18A","Tapirus indicus","12/19/09","23:36"
"PU18A","Tapirus indicus","1/13/10","21:31"
"PU18A","Tapirus indicus","2/3/10","0:36"
"PU19B","Tapirus indicus","3/15/10","4:02"
"PU19C","Tapirus indicus","11/17/09","5:38"
"PU20C","Tapirus indicus","10/30/09","19:05"
"PU20C","Tapirus indicus","11/17/09","20:45"
"PU20C","Tapirus indicus","12/7/09","5:02"
"PU20C","Tapirus indicus","12/11/09","8:32"
"PU21B","Tapirus indicus","12/10/09","6:01"
"PU22C","Tapirus indicus","11/1/09","5:01"
"PU22C","Tapirus indicus","11/27/09","4:17"
"PU25C","Tapirus indicus","3/22/10","18:55"
"PU25C","Tapirus indicus","4/13/10","20:04"
"PU26A","Tapirus indicus","3/25/10","19:10"
"PU26A","Tapirus indicus","4/4/10","3:58"
"PU27B","Tapirus indicus","4/22/10","5:24"
"PU27C","Tapirus indicus","10/31/09","5:56"
"PU27C","Tapirus indicus","11/8/09","19:27"
"PU27C","Tapirus indicus","12/8/09","21:00"
"PU27C","Tapirus indicus","1/9/10","6:39"
"PU27C","Tapirus indicus","1/10/10","7:56"
"PU27C","Tapirus indicus","1/16/10","22:33"
"PU27C","Tapirus indicus","1/18/10","6:07"
"PU31D","Tapirus indicus","3/15/10","19:45"
"PU31D","Tapirus indicus","4/3/10","20:22"
