"","Camr_Nm","Latitud","Longitd"
"1","Tabaconas Namballe National Sanctuary 1",-5.269699444,-79.33121716
"2","Tabaconas Namballe National Sanctuary 2",-5.27617426,-79.32122273
"3","Tabaconas Namballe National Sanctuary 3",-5.279461488,-79.31628846
"4","Tabaconas Namballe National Sanctuary 4",-5.280475697,-79.3002195
"5","Tabaconas Namballe National Sanctuary 5",-5.268829266,-79.30701673
"6","Tabaconas Namballe National Sanctuary 6",-5.260095915,-79.31102746
"7","Tabaconas Namballe National Sanctuary 7",-5.262308841,-79.30012458
"8","Tabaconas Namballe National Sanctuary 8",-5.253992402,-79.29450935
"9","Tabaconas Namballe National Sanctuary 9",-5.245764302,-79.29143774
"10","Tabaconas Namballe National Sanctuary 10",-5.246732387,-79.28173827
"11","Tabaconas Namballe National Sanctuary 11",-5.25220165,-79.26812063
"12","Tabaconas Namballe National Sanctuary 12",-5.240486786,-79.29598026
"13","Tabaconas Namballe National Sanctuary 13",-5.23884031,-79.28578285
"14","Tabaconas Namballe National Sanctuary 14",-5.234479231,-79.2716873
"15","Tabaconas Namballe National Sanctuary 15",-5.229504974,-79.26481871
"16","Tabaconas Namballe National Sanctuary 16",-5.232736532,-79.29238417
"17","Tabaconas Namballe National Sanctuary 17",-5.230576073,-79.28602184
"18","Tabaconas Namballe National Sanctuary 18",-5.224039784,-79.27336658
"19","Tabaconas Namballe National Sanctuary 19",-5.218719118,-79.26874494
"20","Tabaconas Namballe National Sanctuary 20",-5.214077594,-79.26447329
"21","Tabaconas Namballe National Sanctuary 21",-5.224177049,-79.29379645
"22","Tabaconas Namballe National Sanctuary 22",-5.218860431,-79.28730745
"23","Tabaconas Namballe National Sanctuary 23",-5.210367385,-79.28322647
"24","Tabaconas Namballe National Sanctuary 24",-5.214192076,-79.27650534
"25","Tabaconas Namballe National Sanctuary 25",-5.262446002,-79.26784876
"26","Tabaconas Namballe National Sanctuary 26",-5.271277899,-79.27016965
"27","Tabaconas Namballe National Sanctuary 27",-5.278382506,-79.27242319
"28","Tabaconas Namballe National Sanctuary 28",-5.23216291,-79.15082911
"29","Tabaconas Namballe National Sanctuary 29",-5.238825898,-79.1474723
"30","Tabaconas Namballe National Sanctuary 30",-5.202551568,-79.11451542
"31","Tabaconas Namballe National Sanctuary 31",-5.20508326,-79.12056857
"32","Tabaconas Namballe National Sanctuary 32",-5.201998612,-79.13225719
"33","Tabaconas Namballe National Sanctuary 34",-5.208393593,-79.15453346
"34","Tabaconas Namballe National Sanctuary 35",-5.215998607,-79.1272824
"35","Tabaconas Namballe National Sanctuary 36",-5.216021512,-79.13498465
"36","Tabaconas Namballe National Sanctuary 37",-5.217644798,-79.14270929
"37","Tabaconas Namballe National Sanctuary 38",-5.217687278,-79.15097979
"38","Tabaconas Namballe National Sanctuary 39",-5.224253876,-79.15786937
"39","Tabaconas Namballe National Sanctuary 40",-5.226599344,-79.12551924
"40","Tabaconas Namballe National Sanctuary 41",-5.234688909,-79.11855027
"41","Tabaconas Namballe National Sanctuary 42",-5.233219297,-79.13506908
"42","Tabaconas Namballe National Sanctuary 43",-5.197193611,-79.14937118
"43","Tabaconas Namballe National Sanctuary 45",-5.188079286,-79.16483803
"44","Tabaconas Namballe National Sanctuary 46",-5.1813601,-79.17386723
"45","Tabaconas Namballe National Sanctuary 47",-5.177325863,-79.18592794
"46","Tabaconas Namballe National Sanctuary 48",-5.169891165,-79.19787192
"47","Tabaconas Namballe National Sanctuary 49",-5.199248077,-79.16550921
"48","Tabaconas Namballe National Sanctuary 50",-5.192889188,-79.17092095
"49","Tabaconas Namballe National Sanctuary 51",-5.187355093,-79.1801813
"50","Tabaconas Namballe National Sanctuary 52",-5.204350913,-79.17281797
"51","Tabaconas Namballe National Sanctuary 53",-5.19793155,-79.17923101
"52","Tabaconas Namballe National Sanctuary 54",-5.191820176,-79.18587754
"53","Tabaconas Namballe National Sanctuary 55",-5.211270278,-79.18608339
"54","Tabaconas Namballe National Sanctuary 56",-5.215958834,-79.19401603
"55","Tabaconas Namballe National Sanctuary 57",-5.220790006,-79.19809707
"56","Tabaconas Namballe National Sanctuary 58",-5.216299505,-79.21196382
"57","Tabaconas Namballe National Sanctuary 59",-5.096529853,-79.20350658
"58","Tabaconas Namballe National Sanctuary 60",-5.087966014,-79.20643405
"59","Tabaconas Namballe National Sanctuary 61",-5.086595742,-79.21443653
"60","Tabaconas Namballe National Sanctuary 62",-5.084523969,-79.22385671
"61","Tabaconas Namballe National Sanctuary 63",-5.08313616,-79.2321478
"62","Tabaconas Namballe National Sanctuary 64",-5.07994864,-79.24038064
"63","Tabaconas Namballe National Sanctuary 65",-5.072049026,-79.24163747
"64","Tabaconas Namballe National Sanctuary 66",-5.062492595,-79.24214124
"65","Tabaconas Namballe National Sanctuary 67",-5.100086416,-79.19811306
"66","Tabaconas Namballe National Sanctuary 68",-5.095115424,-79.21511641
"67","Tabaconas Namballe National Sanctuary 69",-5.096575533,-79.22320141
"68","Tabaconas Namballe National Sanctuary 70",-5.099199658,-79.23371813
"69","Tabaconas Namballe National Sanctuary 71",-5.100366484,-79.24044237
"70","Tabaconas Namballe National Sanctuary 72",-5.10045177,-79.24517661
"71","Tabaconas Namballe National Sanctuary 73",-5.106494356,-79.20674336
"72","Tabaconas Namballe National Sanctuary 74",-5.106007108,-79.21359835
"73","Tabaconas Namballe National Sanctuary 75",-5.110176939,-79.23039648
"74","Tabaconas Namballe National Sanctuary 76",-5.116252076,-79.19749976
"75","Tabaconas Namballe National Sanctuary 77",-5.112243748,-79.20945983
"76","Tabaconas Namballe National Sanctuary 78",-5.115726356,-79.21318364
"77","Tabaconas Namballe National Sanctuary 79",-5.115628181,-79.22340145
"78","Tabaconas Namballe National Sanctuary 80",-5.115177677,-79.23051802
"79","Tabaconas Namballe National Sanctuary 81",-5.123134093,-79.19783219
"80","Tabaconas Namballe National Sanctuary 82",-5.128623044,-79.19796109
"81","Tabaconas Namballe National Sanctuary 83",-5.13153244,-79.20360738
"82","Tabaconas Namballe National Sanctuary 84",-5.139042876,-79.20232378
"83","Tabaconas Namballe National Sanctuary 85",-5.120040026,-79.20690406
"84","Tabaconas Namballe National Sanctuary 86",-5.120973176,-79.21077927
"85","Tabaconas Namballe National Sanctuary 87",-5.120114646,-79.22393918
