Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM Zone,Cmr_S_D,Cmr_E_D
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,1,Yes,-5.269699444,-79.33121716,684940,9417276,17,6/2/2016,9/22/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,2,No,-5.27617426,-79.32122273,686046,9416557,17,6/2/2016,9/22/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,4,No,-5.280475697,-79.3002195,688373,9416075,17,6/2/2016,8/29/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,5,Yes,-5.268829266,-79.30701673,687623,9417365,17,6/3/2016,9/25/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,7,Yes,-5.262308841,-79.30012458,688389,9418084,17,6/3/2016,8/27/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,8,No,-5.253992402,-79.29450935,689014,9419002,17,6/3/2016,9/25/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,9,Yes,-5.245764302,-79.29143774,689357,9419911,17,6/3/2016,9/25/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,10,No,-5.246732387,-79.28173827,690432,9419801,17,6/3/2016,9/23/2016
