Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM Zone,Cmr_S_D,Cmr_E_D,Date,Time
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,1,Yes,-5.269699444,-79.33121716,684940,9417276,17,6/2/2016,9/22/2016,6/13/2016,13:40:39
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,1,Yes,-5.269699444,-79.33121716,684940,9417276,17,6/2/2016,9/22/2016,6/13/2016,13:40:47
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,2,No,-5.27617426,-79.32122273,686046,9416557,17,6/2/2016,9/22/2016,7/11/2016,13:30:09
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/7/2016,9:50:07
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/26/2016,13:16:04
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,6/26/2016,13:17:40
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,3,Yes,-5.279461488,-79.31628846,686592,9416192,17,6/2/2016,9/22/2016,7/3/2016,23:06:43
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,6/5/2016,14:18:18
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,6/25/2016,16:43:22
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,7/14/2016,5:35:28
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,7/22/2016,2:08:45
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/6/2016,17:55:15
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/9/2016,10:33:16
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/11/2016,11:59:02
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,6,Yes,-5.260095915,-79.31102746,687181,9418332,17,6/2/2016,9/22/2016,8/12/2016,19:35:35
